plot,year,PD,block,rate_pl,rate_m,rye_bio,steme_bio,erpve_bio,carhi_bio,lamam_bio,setfa_bio,oxast_bio,cervu_bio,ambel_bio,tarof_bio,lampu_bio,polpy_bio,verar_bio,triticale_bio,verpg_bio,vioar_bio,trzax_,thlar_bio,weed_bio_tot,rye_kg,weed_kg
101E,2022,E,1,1.5,3.36,171.6,1.468,0,0,0.036,0,0,0.034,0,0,0,0,0,0,0,0,0,0,1.538,6864,61.52
101L,2022,L,1,1.5,3.36,119.7,1.582,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,1.616,4788,64.64
102E,2022,E,1,0,0,80.3,0.055,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.064,3212,2.56
102L,2022,L,1,0,0,67.3,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,2692,4.64
103E,2022,E,1,3,6.73,218.2,1.894,0,0,0,0,0,0,0,0,0,0,0.016,0,0.008,0,1.288,0,3.206,8728,128.24
103L,2022,L,1,3,6.73,125.5,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,5020,23.2
201E,2022,E,2,0,0,62,0.162,0.017,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0.247,2480,9.88
201L,2022,L,2,0,0,92,0.764,0,0.019,0,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0.856,3680,34.24
202E,2022,E,2,1.5,3.36,89,2.234,0,0.119,0,0,0,0,0,0,0,0,0.062,0,0.045,0,0,0,2.46,3560,98.4
202L,2022,L,2,1.5,3.36,126.3,2.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.219,5052,88.76
203E,2022,E,2,3,6.73,79.3,0.862,0.208,0.114,0.063,0,0,0,0.002,0.026,0,0,0,0,0.142,0,0,0,1.417,3172,56.68
203L,2022,L,2,3,6.73,97.6,0.242,0,0,0,0,0,0,0,0,0.17,0,0,0,0.09,0,0,0,0.502,3904,20.08
301E,2022,E,3,3,6.73,129.7,1.9,0,0,0,0,0,0,0,0,0,0,0.128,0,0.042,0,0,0,2.07,5188,82.8
301L,2022,L,3,3,6.73,136.2,1.993,0.059,0,0,0,0,0,0,0,0,0,0.051,0,0.042,0,0,0,2.145,5448,85.8
302E,2022,E,3,1.5,3.36,85.5,3.065,0,0,0.098,0,0,0,0,0,0,0,0.461,0,0,0,0,0,3.624,3420,144.96
302L,2022,L,3,1.5,3.36,106.9,3.136,0.029,0.44,0,0,0,0,0,0,0,0,0.407,0,0.066,0.037,0,0,4.115,4276,164.6
303E,2022,E,3,0,0,39.8,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0.068,1592,2.72
303L,2022,L,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,0
401E,2022,E,4,0,0,90.4,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,3616,7.84
401L,2022,L,4,0,0,95.8,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553,3832,22.12
402E,2022,E,4,3,6.73,61.8,2.476,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0,2.573,2472,102.92
402L,2022,L,4,3,6.73,103.2,3.227,0.04,0.015,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0.049,3.504,4128,140.16
403E,2022,E,4,1.5,3.36,84,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,3360,9.84
403L,2022,L,4,1.5,3.36,119.7,3.214,0.115,0.314,0,0.009,0,0,0,0.017,0.129,0,0.059,0,0.502,0,0,0,4.359,4788,174.36
501E,2022,E,5,3,6.73,160.8,0.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,6432,35.08
501L,2022,L,5,3,6.73,225,1.705,0.078,0.117,0.066,0.009,0,0,0,0,0,0,0,0,0,0,0,0,1.975,9000,79
502E,2022,E,5,0,0,78.5,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0.074,3140,2.96
502L,2022,L,5,0,0,66.2,0.544,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724,2648,28.96
503E,2022,E,5,1.5,3.36,144.4,2.878,0.151,0,0,0,0,0.028,0,0,0,0,0.136,0,0,0,0,0,3.193,5776,127.72
503L,2022,L,5,1.5,3.36,106.1,0.977,0.8,0,0.016,0,0,0,0,0,0,0,0.174,0,0.101,0.314,0,0,2.382,4244,95.28
101E,2023,E,1,3,6.73,95.8,1.2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,3832,50.8
101L,2023,L,1,3,6.73,193.5,0.31,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,7740,14.4
102E,2023,E,1,0,0,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,0
102L,2023,L,1,0,0,64.9,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.004,2596,0.16
103E,2023,E,1,1.5,3.36,105,0.44,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.46,4200,18.4
103L,2023,L,1,1.5,3.36,147.2,0.31,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.36,5888,14.4
201E,2023,E,2,3,6.73,196.5,0.6,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.65,7860,26
201L,2023,L,2,3,6.73,157.3,0.5,0.004,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,6292,24.16
202E,2023,E,2,1.5,3.36,183.5,0.8,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,7340,33.2
202L,2023,L,2,1.5,3.36,157.8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,6312,104
203E,2023,E,2,0,0,134.9,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,5396,27.2
203L,2023,L,2,0,0,94.1,0.01,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.012,3764,0.48
301E,2023,E,3,0,0,111.5,0.01,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0.06,4460,2.4
301L,2023,L,3,0,0,117.6,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4704,2.4
302E,2023,E,3,3,6.73,210.2,1.4,0,0.06,0.2,0.05,0,0,0,0,0,0,0,0.24,0,0,0,0,1.95,8408,78
302L,2023,L,3,3,6.73,208.5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,8340,4.8
303E,2023,E,3,1.5,3.36,130.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,5208,8
303L,2023,L,3,1.5,3.36,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6604,0
401E,2023,E,4,1.5,3.36,123.3,0.06,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,4932,2.48
401L,2023,L,4,1.5,3.36,126.3,0.06,0,0,0,0.02,0.001,0.03,0,0,0,0,0,0,0,0,0,0,0.111,5052,4.44
402E,2023,E,4,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,0
402L,2023,L,4,0,0,111.7,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4468,76
403E,2023,E,4,3,6.73,156.6,1.4,0,0.05,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,1.451,6264,58.04
403L,2023,L,4,3,6.73,191.2,0.7,0,0,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0,0,0.75,7648,30
501E,2023,E,5,1.5,3.36,120.6,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,4824,5.6
501L,2023,L,5,1.5,3.36,119.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4792,0
502E,2023,E,5,3,6.73,160.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,6420,32
502L,2023,L,5,3,6.73,234.5,0.6,0,0.03,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,9380,25.56
503E,2023,E,5,0,0,96.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3852,0
503L,2023,L,5,0,0,89.6,0.01,0,0,0,0.02,0,0,0.001,0.05,0,0,0,0,0,0,0,0,0.081,3584,3.24
